date,price
2006-01-01,687.935064935
2006-01-02,645.684466019
2006-01-03,642.188940092
2006-01-04,624.718309859
2006-01-05,614.326315789
2006-01-06,650.794871795
2006-01-07,626.0
2006-01-08,607.55952381
2006-01-09,605.471428571
2006-01-10,640.41509434
2006-01-11,622.784172662
2006-01-12,596.444976077
2006-01-13,630.721649485
2006-01-14,606.095588235
2006-01-15,590.567567568
2006-01-16,597.781725888
2006-01-17,588.976851852
2006-01-18,566.052907489
2006-01-19,563.897321429
2006-01-20,574.961538462
2006-01-21,565.297435897
2006-01-22,577.376623377
2006-01-23,544.902857143
2006-01-24,549.385
2006-01-25,526.735576923
2006-01-26,535.287234043
2006-01-27,539.019138756
2006-01-28,540.066666667
2006-01-29,536.942028986
2006-01-30,504.833333333
2006-01-31,526.502824859
2006-02-01,501.215789474
2006-02-02,502.893939394
2006-02-03,511.789189189
2006-02-04,500.481283422
2006-02-05,490.179775281
2006-02-06,503.693396226
2006-02-07,498.879227053
2006-02-08,484.147208122
2006-02-09,478.01369863
2006-02-10,483.766497462
2006-02-11,459.927536232
2006-02-12,463.935897436
2006-02-13,464.15
2006-02-14,459.96039604
2006-02-15,454.957142857
2006-02-16,463.695754717
2006-02-17,466.497435897
2006-02-18,481.928571429
2006-02-19,445.588235294
2006-02-20,452.614285714
2006-02-21,456.965686275
2006-02-22,441.336842105
2006-02-23,440.405612245
2006-02-24,461.914572864
2006-02-25,465.017751479
2006-02-26,453.382352941
2006-02-27,455.025380711
2006-02-28,455.964864865
2006-03-01,448.330097087
2006-03-02,461.21559633
2006-03-03,485.471698113
2006-03-04,446.385786802
2006-03-05,436.28125
2006-03-06,455.824390244
2006-03-07,451.859223301
2006-03-08,443.70754717
2006-03-09,433.669724771
2006-03-10,441.855855856
2006-03-11,440.846153846
2006-03-12,436.1
2006-03-13,443.315789474
2006-03-14,426.165562914
2006-03-15,447.6
2006-03-16,490.666666667
2006-03-17,442.721649485
2006-03-18,444.861111111
2006-03-19,437.786666667
2006-03-20,440.427083333
2006-03-21,436.005681818
2006-03-22,429.77486911
2006-03-23,436.898550725
2006-03-24,435.622009569
2006-03-25,427.837349398
2006-03-26,449.676923077
2006-03-27,428.703125
2006-03-28,429.24137931
2006-03-29,431.539800995
2006-03-30,430.867549669
2006-03-31,432.095808383
2006-04-01,428.897260274
2006-04-02,417.886363636
2006-04-03,427.230769231
2006-04-04,427.597883598
2006-04-05,425.587078652
2006-04-06,420.593103448
2006-04-07,437.591397849
2006-04-08,434.893835616
2006-04-09,434.986486486
2006-04-10,426.922279793
2006-04-11,421.173228346
2006-04-12,450.586021505
2006-04-13,423.044198895
2006-04-14,397.488372093
2006-04-15,425.1875
2006-04-16,426.626666667
2006-04-17,416.079487179
2006-04-18,437.526595745
2006-04-19,415.319587629
2006-04-20,424.466494845
2006-04-21,429.45026178
2006-04-22,421.464497041
2006-04-23,433.538461538
2006-04-24,416.697860963
2006-04-25,411.117924528
2006-04-26,404.323809524
