date,price
2006-01-01,569.865168539
2006-01-02,593.271929825
2006-01-03,606.471193416
2006-01-04,576.932773109
2006-01-05,573.8125
2006-01-06,576.17699115
2006-01-07,548.167487685
2006-01-08,528.130434783
2006-01-09,543.195175439
2006-01-10,540.05982906
2006-01-11,504.049689441
2006-01-12,525.147679325
2006-01-13,541.659663866
2006-01-14,507.061728395
2006-01-15,517.2
2006-01-16,532.683544304
2006-01-17,555.519148936
2006-01-18,541.564705882
2006-01-19,546.562992126
2006-01-20,536.425619835
2006-01-21,539.939252336
2006-01-22,510.168539326
2006-01-23,504.316582915
2006-01-24,501.286343612
2006-01-25,489.512711864
2006-01-26,466.37962963
2006-01-27,533.071129707
2006-01-28,480.269607843
2006-01-29,469.083333333
2006-01-30,525.535864979
2006-01-31,498.166666667
2006-02-01,485.956521739
2006-02-02,496.728632479
2006-02-03,484.366197183
2006-02-04,498.527906977
2006-02-05,446.323529412
2006-02-06,520.536585366
2006-02-07,476.407407407
2006-02-08,466.613445378
2006-02-09,447.818681319
2006-02-10,472.234782609
2006-02-11,460.994565217
2006-02-12,443.469387755
2006-02-13,469.9875
2006-02-14,465.877637131
2006-02-15,468.245901639
2006-02-16,450.52734375
2006-02-17,498.911894273
2006-02-18,471.959821429
2006-02-19,462.118811881
2006-02-20,489.584677419
2006-02-21,466.239316239
2006-02-22,447.141350211
2006-02-23,472.560344828
2006-02-24,485.66255144
2006-02-25,468.714975845
2006-02-26,460.472527473
2006-02-27,474.334821429
2006-02-28,489.108294931
2006-03-01,480.090517241
2006-03-02,477.188
2006-03-03,523.739299611
2006-03-04,478.339207048
2006-03-05,473.913793103
2006-03-06,482.680672269
2006-03-07,493.856299213
2006-03-08,488.452380952
2006-03-09,485.9296875
2006-03-10,496.683018868
2006-03-11,488.729166667
2006-03-12,470.834862385
2006-03-13,494.004098361
2006-03-14,504.056818182
2006-03-15,526.01
2006-03-16,512.066666667
2006-03-17,510.4375
2006-03-18,512.058823529
2006-03-19,483.46
2006-03-20,524.387931034
2006-03-21,504.87804878
2006-03-22,494.694915254
2006-03-23,504.8625
2006-03-24,506.95951417
2006-03-25,504.879396985
2006-03-26,481.475
2006-03-27,510.279279279
2006-03-28,504.937238494
2006-03-29,508.704845815
2006-03-30,488.384210526
2006-03-31,520.512077295
2006-04-01,508.783707865
2006-04-02,519.346153846
2006-04-03,508.009433962
2006-04-04,519.054824561
2006-04-05,520.081447964
2006-04-06,503.6
2006-04-07,521.738738739
2006-04-08,525.864864865
2006-04-09,523.62745098
2006-04-10,528.308370044
2006-04-11,512.642857143
2006-04-12,526.488938053
2006-04-13,522.316901408
2006-04-14,504.986928105
2006-04-15,525.267379679
