date,price
2006-01-01,1095.74074074
2006-01-02,1165.92592593
2006-01-03,1216.75107296
2006-01-04,1151.75
2006-01-05,1146.455
2006-01-06,1156.93886463
2006-01-07,1165.2735426
2006-01-08,1107.51162791
2006-01-09,1182.36595745
2006-01-10,1155.13247863
2006-01-11,1124.30275229
2006-01-12,1170.87378641
2006-01-13,1200.03139013
2006-01-14,1133.66423358
2006-01-15,1098.14864865
2006-01-16,1172.38333333
2006-01-17,1235.06834532
2006-01-18,1177.81712062
2006-01-19,1164.28455285
2006-01-20,1228.20930233
2006-01-21,1185.83265306
2006-01-22,1129.3875
2006-01-23,1214.55555556
2006-01-24,1246.61924686
2006-01-25,1170.38846154
2006-01-26,1204.56962025
2006-01-27,1234.21132075
2006-01-28,1186.65217391
2006-01-29,1160.73076923
2006-01-30,1178.1446281
2006-01-31,1261.69361702
2006-02-01,1138.30452675
2006-02-02,1157.34482759
2006-02-03,1189.81981982
2006-02-04,1194.32
2006-02-05,1146.97727273
2006-02-06,1187.34482759
2006-02-07,1255.636
2006-02-08,1171.47509579
2006-02-09,1101.28695652
2006-02-10,1230.30855019
2006-02-11,1135.53529412
2006-02-12,1106.225
2006-02-13,1198.54587156
2006-02-14,1233.04237288
2006-02-15,1166.62948207
2006-02-16,1178.70833333
2006-02-17,1256.36947791
2006-02-18,1181.11158798
2006-02-19,1161.53763441
2006-02-20,1195.01149425
2006-02-21,1244.71311475
2006-02-22,1176.268
2006-02-23,1164.01260504
2006-02-24,1241.44488189
2006-02-25,1174.45299145
2006-02-26,1108.84722222
2006-02-27,1161.60550459
2006-02-28,1229.04435484
2006-03-01,1198.07942238
2006-03-02,1173.43032787
2006-03-03,1249.14391144
2006-03-04,1188.96995708
2006-03-05,1133.65263158
2006-03-06,1195.29237288
2006-03-07,1231.89883268
2006-03-08,1187.53639847
2006-03-09,1203.71193416
2006-03-10,1228.59057971
2006-03-11,1165.67027027
2006-03-12,1118.97752809
2006-03-13,1186.59030837
2006-03-14,1305.36842105
2006-03-15,1210.25263158
2006-03-16,1204.60913706
2006-03-17,1225.568
2006-03-18,1173.91402715
2006-03-19,1088.05970149
2006-03-20,1176.035
2006-03-21,1285.36315789
2006-03-22,1188.96035242
2006-03-23,1174.85281385
2006-03-24,1234.93852459
2006-03-25,1206.21463415
2006-03-26,1112.50684932
2006-03-27,1194.02155172
2006-03-28,1283.08163265
2006-03-29,1203.9055794
2006-03-30,1137.59171598
2006-03-31,1265.47302905
2006-04-01,1190.79047619
2006-04-02,1156.8045977
2006-04-03,1189.41626794
2006-04-04,1246.65020576
2006-04-05,1198.04694836
2006-04-06,1202.02515723
2006-04-07,1234.76744186
2006-04-08,1170.6
2006-04-09,1135.0
2006-04-10,1198.06355932
2006-04-11,1150.95238095
2006-04-12,1215.60189573
2006-04-13,1190.60869565
2006-04-14,1109.81052632
2006-04-15,1176.75789474
2006-04-16,1100.77142857
2006-04-17,1197.055
2006-04-18,1257.14096916
2006-04-19,1183.49576271
2006-04-20,1198.2
2006-04-21,1192.54148472
2006-04-22,1172.30516432
2006-04-23,1137.37142857
2006-04-24,1171.59903382
2006-04-25,1251.74889868
2006-04-26,1192.5862069
2006-04-27,1211.39
2006-04-28,1266.4628821
2006-04-29,1196.4079602
