date,price
2006-01-01 ,876.764705882
2006-01-02 ,822.019607843
2006-01-03 ,840.421568627
2006-01-04 ,849.715686275
2006-01-05 ,837.43627451
2006-01-06 ,844.696078431
2006-01-07 ,847.848039216
2006-01-08 ,857.71
2006-01-09 ,845.235294118
2006-01-10 ,846.656862745
2006-01-11 ,915.862745098
2006-01-12 ,874.004901961
2006-01-13 ,911.598039216
2006-01-14 ,896.607843137
2006-01-15 ,856.980392157
2006-01-16 ,866.039215686
2006-01-17 ,881.852941176
2006-01-18 ,874.0
2006-01-19 ,897.303921569
2006-01-20 ,861.215686275
2006-01-21 ,876.470588235
2006-01-22 ,937.323529412
2006-01-23 ,889.931372549
2006-01-24 ,885.637254902
2006-01-25 ,878.598039216
2006-01-26 ,901.28125
2006-01-27 ,897.647058824
2006-01-28 ,836.970588235
2006-01-29 ,870.5625
2006-01-30 ,839.950980392
2006-01-31 ,858.166666667
2006-02-01 ,842.803921569
2006-02-02 ,854.0
2006-02-03 ,884.901960784
2006-02-04 ,849.411764706
2006-02-05 ,881.509803922
2006-02-06 ,838.352941176
2006-02-07 ,838.352941176
2006-02-08 ,838.352941176
2006-02-09 ,898.588235294
2006-02-10 ,863.725490196
2006-02-11 ,869.509803922
2006-02-12 ,894.294117647
2006-02-13 ,849.441176471
2006-02-14 ,908.470588235
2006-02-15 ,880.843137255
2006-02-16 ,890.254901961
2006-02-17 ,891.004901961
2006-02-18 ,857.490196078
2006-02-19 ,914.803921569
2006-02-20 ,862.009803922
2006-02-21 ,866.843137255
2006-02-22 ,854.607843137
2006-02-23 ,836.254901961
2006-02-24 ,862.441176471
2006-02-25 ,818.784313725
2006-02-26 ,916.973684211
2006-02-27 ,816.593137255
2006-02-28 ,800.642156863
2006-03-01 ,837.235294118
2006-03-02 ,822.661764706
2006-03-03 ,855.137254902
2006-03-04 ,821.450980392
2006-03-05 ,891.529411765
2006-03-06 ,848.803921569
2006-03-07 ,852.31372549
2006-03-08 ,852.31372549
2006-03-09 ,831.098039216
2006-03-10 ,869.176470588
2006-03-11 ,863.156862745
2006-03-12 ,912.911764706
2006-03-13 ,856.705882353
2006-03-14 ,821.156862745
2006-03-15 ,968.47826087
2006-03-16 ,832.725490196
2006-03-17 ,854.098039216
2006-03-18 ,880.480392157
2006-03-19 ,896.78125
2006-03-20 ,858.637254902
2006-03-21 ,817.333333333
2006-03-22 ,895.647058824
2006-03-23 ,864.637254902
2006-03-24 ,899.254901961
2006-03-25 ,864.225490196
2006-03-26 ,855.647058824
2006-03-27 ,812.725490196
2006-03-28 ,859.921568627
2006-03-29 ,783.411764706
2006-03-30 ,789.098039216
2006-03-31 ,803.911764706
2006-04-01 ,807.676470588
2006-04-02 ,804.264705882
2006-04-03 ,846.490196078
2006-04-04 ,878.215686275
2006-04-05 ,887.764705882
2006-04-06 ,682.568627451
2006-04-07 ,839.12745098
2006-04-08 ,850.37254902
2006-04-09 ,719.078431373
2006-04-10 ,879.235294118
2006-04-11 ,721.803921569
2006-04-12 ,869.941176471
2006-04-13 ,890.941176471
2006-04-14 ,819.024509804
2006-04-15 ,860.098039216
2006-04-16 ,736.705882353
2006-04-17 ,908.37254902
2006-04-18 ,873.960784314
2006-04-19 ,895.333333333
2006-04-20 ,874.745098039
2006-04-21 ,915.803921569
2006-04-22 ,894.460784314
2006-04-23 ,781.960784314
2006-04-24 ,889.156862745
2006-04-25 ,883.647058824
2006-04-26 ,912.921568627
2006-04-27 ,912.921568627
2006-04-28 ,897.509803922
2006-04-29 ,912.333333333
2006-04-30 ,850.696078431
2006-05-01 ,875.617647059
2006-05-02 ,888.823529412
2006-05-03 ,921.058823529
2006-05-04 ,903.254901961
2006-05-05 ,903.254901961
2006-05-06 ,913.392156863
2006-05-07 ,870.705882353
2006-05-08 ,908.480392157
2006-05-09 ,920.117647059
2006-05-10 ,904.392156863
2006-05-11 ,907.274509804
2006-05-12 ,939.068627451
2006-05-13 ,878.892156863
2006-05-14 ,876.941176471
2006-05-15 ,906.862745098
2006-05-16 ,937.068627451
2006-05-17 ,905.254901961
2006-05-18 ,903.980392157
2006-05-19 ,929.284313725
2006-05-20 ,1011.59803922
2006-05-21 ,890.970588235
2006-05-22 ,889.676470588
2006-05-23 ,944.215686275
2006-05-24 ,918.705882353
2006-05-25 ,882.617647059
2006-05-26 ,964.019607843
2006-05-27 ,860.215686275
2006-05-28 ,935.794117647
2006-05-29 ,860.745098039
2006-05-30 ,920.274509804
2006-05-31 ,947.196078431
2006-06-01 ,847.225490196
2006-06-02 ,900.745098039
2006-06-03 ,941.901960784
2006-06-04 ,960.264705882
2006-06-05 ,963.68627451
2006-06-06 ,929.254901961
2006-06-07 ,866.745098039
2006-06-08 ,933.196078431
2006-06-09 ,977.941176471
2006-06-10 ,869.37254902
2006-06-11 ,956.411764706
2006-06-12 ,943.215686275
2006-06-13 ,961.039215686
2006-06-14 ,895.803921569
2006-06-15 ,938.019607843
2006-06-16 ,1004.09803922
2006-06-17 ,936.352941176
2006-06-18 ,916.725490196
2006-06-19 ,902.098039216
2006-06-20 ,963.117647059
2006-06-21 ,885.019607843
2006-06-22 ,942.254901961
2006-06-23 ,933.294117647
2006-06-24 ,911.62745098
2006-06-25 ,830.62745098
2006-06-26 ,918.568627451
2006-06-27 ,864.588235294
2006-06-28 ,894.539215686
2006-06-29 ,921.705882353
2006-06-30 ,926.0
2006-07-01 ,944.843137255
2006-07-02 ,886.009803922
2006-07-03 ,945.980392157
2006-07-04 ,923.725490196
2006-07-05 ,925.37254902
2006-07-06 ,946.960784314
2006-07-07 ,956.029411765
2006-07-08 ,920.049019608
2006-07-09 ,885.529411765
2006-07-10 ,973.931372549
2006-07-11 ,914.862745098
2006-07-12 ,888.215686275
2006-07-13 ,902.990196078
2006-07-14 ,966.62745098
2006-07-15 ,926.745098039
2006-07-16 ,917.666666667
2006-07-17 ,944.245098039
2006-07-18 ,931.441176471
2006-07-19 ,925.068627451
2006-07-20 ,932.588235294
2006-07-21 ,942.0
2006-07-22 ,912.68627451
2006-07-23 ,908.549019608
2006-07-24 ,967.558823529
2006-07-25 ,929.696078431
2006-07-26 ,946.852941176
2006-07-27 ,957.215686275
2006-07-28 ,974.852941176
2006-07-29 ,948.931372549
2006-07-30 ,888.347826087
2006-07-31 ,903.52685422
2006-08-01 ,918.705882353
2006-08-02 ,964.019607843
2006-08-03 ,947.068627451
2006-08-04 ,986.892156863
2006-08-05 ,955.803921569
2006-08-06 ,900.677777778
2006-08-07 ,934.509803922
2006-08-08 ,930.098039216
2006-08-09 ,936.803921569
2006-08-10 ,926.196078431
2006-08-11 ,944.392156863
2006-08-12 ,977.352941176
2006-08-13 ,903.803921569
2006-08-14 ,914.039215686
2006-08-15 ,900.5
2006-08-16 ,1042.96078431
2006-08-17 ,969.774509804
2006-08-18 ,973.705882353
2006-08-19 ,932.049019608
2006-08-20 ,910.215686275
2006-08-21 ,961.245098039
2006-08-22 ,1026.6372549
2006-08-23 ,986.098039216
2006-08-24 ,973.617647059
2006-08-25 ,1024.8627451
2006-08-26 ,1023.15686275
2006-08-27 ,960.4375
2006-08-28 ,1021.06862745
2006-08-29 ,994.333333333
2006-08-30 ,1028.68627451
2006-08-31 ,1006.07843137
2006-09-01 ,1054.64705882
2006-09-02 ,1044.01960784
2006-09-03 ,1030.23529412
2006-09-04 ,1004.05882353
2006-09-05 ,990.107843137
2006-09-06 ,978.411764706
2006-09-07 ,985.176470588
2006-09-08 ,985.245098039
2006-09-09 ,1038.90196078
2006-09-10 ,1010.16666667
2006-09-11 ,1037.47058824
2006-09-12 ,1047.42156863
2006-09-13 ,1061.53921569
2006-09-14 ,1053.57843137
2006-09-15 ,1112.90196078
2006-09-16 ,1063.15686275
2006-09-17 ,974.588235294
2006-09-18 ,1035.74509804
2006-09-19 ,1047.39215686
2006-09-20 ,1068.69607843
2006-09-21 ,1068.15686275
2006-09-22 ,1104.43137255
2006-09-23 ,1070.25490196
2006-09-24 ,1066.79411765
2006-09-25 ,1071.73529412
2006-09-26 ,1071.75490196
2006-09-27 ,1089.57843137
2006-09-28 ,1011.16666667
2006-09-29 ,1113.02941176
2006-09-30 ,1040.39215686
2006-10-01 ,1030.15686275
2006-10-02 ,1039.66666667
2006-10-03 ,1056.2745098
2006-10-04 ,1060.37254902
2006-10-05 ,1022.41176471
2006-10-06 ,1064.41176471
2006-10-07 ,1149.09803922
2006-10-08 ,1016.11764706
2006-10-09 ,1064.50980392
2006-10-10 ,1079.33333333
2006-10-11 ,1068.08823529
2006-10-12 ,1081.66666667
2006-10-13 ,1057.87254902
2006-10-14 ,1069.83333333
2006-10-15 ,1024.98039216
2006-10-16 ,1069.15686275
2006-10-17 ,1080.35294118
2006-10-18 ,1108.40196078
2006-10-19 ,1069.74509804
2006-10-20 ,1095.96078431
2006-10-21 ,1030.6372549
2006-10-22 ,1098.05263158
2006-10-23 ,1040.90196078
2006-10-24 ,1022.37254902
2006-10-25 ,1208.58823529
2006-10-26 ,1126.47058824
2006-10-27 ,1091.61764706
2006-10-28 ,1081.61764706
2006-10-29 ,1037.01960784
2006-10-30 ,1108.88235294
2006-10-31 ,1160.74509804
2006-11-01 ,1136.57843137
2006-11-02 ,1122.17647059
2006-11-03 ,1140.95098039
2006-11-04 ,1085.11764706
2006-11-05 ,1074.04255319
2006-11-06 ,1104.99019608
2006-11-07 ,1127.82352941
2006-11-08 ,1141.54901961
2006-11-09 ,1094.01960784
2006-11-10 ,1119.41176471
2006-11-11 ,1133.89215686
2006-11-12 ,1134.98039216
2006-11-13 ,1088.5
2006-11-14 ,1104.56862745
2006-11-15 ,1133.92156863
2006-11-16 ,1123.02941176
2006-11-17 ,1142.0
2006-11-18 ,1126.95098039
2006-11-19 ,1101.08510638
2006-11-20 ,1099.04901961
2006-11-21 ,1142.75490196
2006-11-22 ,1115.33333333
2006-11-23 ,1106.14705882
2006-11-24 ,1169.15686275
2006-11-25 ,1088.99019608
2006-11-26 ,1069.54545455
2006-11-27 ,1128.93137255
2006-11-28 ,1116.12745098
2006-11-29 ,1120.60784314
2006-11-30 ,1127.47058824
2006-12-01 ,1126.02941176
2006-12-02 ,1142.87254902
2006-12-03 ,1077.4
2006-12-04 ,1128.12745098
2006-12-05 ,1198.56862745
2006-12-06 ,1148.81372549
2006-12-07 ,1134.08823529
2006-12-08 ,1187.3627451
2006-12-09 ,1114.94117647
2006-12-10 ,1099.39534884
2006-12-11 ,1180.54901961
2006-12-12 ,1122.31372549
2006-12-13 ,1086.64705882
2006-12-14 ,1166.14705882
2006-12-15 ,1142.11764706
2006-12-16 ,1166.26470588
2006-12-17 ,1068.68627451
2006-12-18 ,1147.55882353
2006-12-19 ,1102.64705882
2006-12-20 ,1167.78431373
2006-12-21 ,1122.70588235
2006-12-22 ,1174.37254902
2006-12-23 ,1149.35294118
2006-12-24 ,1129.90196078
2006-12-25 ,1240.1372549
2006-12-26 ,1136.67647059
2006-12-27 ,1116.44117647
2006-12-28 ,1136.43137255
2006-12-29 ,1160.30392157
2006-12-30 ,1172.84313725
2006-12-31 ,1101.80434783
2007-01-01 ,1158.26470588
2007-01-02 ,1118.04901961
2007-01-03 ,1107.6372549
2007-01-04 ,1127.99019608
2007-01-05 ,1183.0
2007-01-06 ,1185.96078431
2007-01-07 ,1110.70588235
2007-01-08 ,1170.18627451
2007-01-09 ,1159.40196078
2007-01-10 ,1157.26470588
2007-01-11 ,1165.90196078
2007-01-12 ,1183.76470588
2007-01-13 ,1168.05882353
2007-01-14 ,1096.66666667
2007-01-15 ,1133.37254902
